1,Decorative Throw Pillows,Set of stylish throw pillows for home decor.,408.74,408.74,13,14,14
2,Chipotle Seasoning Blend,A smoky blend of spices for grilling and roasting.,582.58,582.58,83,84,84
3,Savory Italian Herbs,A blend of dried Italian herbs for cooking.,560.88,560.88,74,75,75
4,Curried Lentil Salad,"A hearty salad with lentils, veggies, and curry dressing.",560.31,560.31,74,75,75
5,Two-Tier Fruit Basket,Stylish fruit basket for kitchen or dining room.,558.40,558.40,73,74,74
6,Electric Heat Press Machine,Ideal for creating custom designs on t-shirts and fabrics.,442.88,442.88,27,28,28
7,Athletic Sports Bra,"Supportive sports bra designed for high-impact workouts, made with moisture-wicking fabric.",481.46,481.46,42,43,43
8,Brown Rice,Nutty and wholesome brown rice.,612.77,612.77,95,96,96
9,Electric Pressure Washer,Powerful electric pressure washer for deep cleaning.,492.87,492.87,47,48,48
10,Garam Masala Spice Blend,A fragrant Indian spice blend for curries and stews.,440.46,440.46,26,27,27
11,Pepperoni Pizza Roll-Ups,"Savory pizza filled with pepperoni and cheese, ready to microwave.",397.44,397.44,8,81,81
12,Tactical Backpack,Durable and versatile backpack for outdoor and travel use.,576.46,576.46,80,75,75
13,Camping Tarp,Durable tarp for outdoor camping and protection.,561.31,561.31,74,16,16
14,Personal Blender with Travel Lid,Blender designed for smoothies and shakes on the go.,442.20,442.20,26,37,37
15,Fitness Resistance Bands,Set of resistance bands for home workouts.,414.39,414.39,15,10,10
16,LED Canopy Lights,Energy-efficient lights to illuminate outdoor areas.,444.94,444.94,27,38,38
17,Laundry Detergent,Effective laundry detergent for a deep clean.,465.96,465.96,36,4,4
18,Green Smoothie Mix,A convenient powder mix combining greens and fruits for smoothies.,397.57,397.57,9,54,54
19,Sliced Olives,"Pitted black olives, perfect for salads and pizzas.",467.93,467.93,37,87,87
20,Laundry Detergent,Effective laundry detergent for a deep clean.,383.82,383.82,3,54,54
21,Silicone Stretch Lids,Reusable silicone lids for covering food in bowls and storage containers.,509.29,509.29,53,88,88
22,Scented Candles,Set of three aromatic candles with various scents.,591.34,591.34,86,59,59
23,Kale & Quinoa Salad Mix,"A nutrient-packed salad mix with kale, quinoa, and a lemon vinaigrette, ready to eat.",519.64,519.64,57,43,43
24,Apple Cinnamon Instant Oatmeal,"Quick oatmeal packets infused with apple and cinnamon, perfect for breakfast.",509.28,509.28,53,82,82
25,Handmade Soap Making Kit,Complete kit for crafting your own scented soaps.,449.84,449.84,29,9,9
26,Apple Cinnamon Granola,A wholesome granola with bits of apple and a touch of cinnamon.,377.25,377.25,0,36,36
27,Memory Card,64GB SD memory card for cameras and devices.,594.16,594.16,87,83,83
28,Scented Candles,Set of three aromatic candles with various scents.,520.22,520.22,58,35,35
29,Pet Safety Belt for Car,Seat belt attachment to keep dogs safe during car rides.,480.87,480.87,42,28,28
30,Sweet Chili Thai Sauce,Tangy sweet chili sauce perfect for dipping or cooking.,577.94,577.94,81,16,16
31,Vegan Caesar Dressing,"Creamy vegan dressing made with cashews, perfect for salads.",396.75,396.75,8,33,33
32,Cat Tree with Scratching Posts,Multi-level cat tree for play and scratching.,377.28,377.28,0,94,94
33,High-Quality Yoga Block,Foam yoga block for enhancing poses and stability.,463.60,463.60,35,62,62
34,Wireless Charging Pad,Sleek wireless charging pad for smartphones.,599.53,599.53,89,80,80
35,Silicone Ice Cube Tray,Flexible tray for easy-release ice cubes.,581.43,581.43,82,86,86
36,Canvas Wall Art,Stylish wall art to enhance home decor.,460.45,460.45,34,78,78
37,Sweet Chili Dipping Sauce,A sweet and spicy sauce ideal for spring rolls or chicken nuggets.,443.41,443.41,27,100,100
38,Leek and Potato Soup,Savory soup made with leeks and potatoes.,402.31,402.31,10,34,34
39,Spicy Thai Coconut Soup,"A ready-to-eat soup with coconut milk, spices, and vegetables.",414.04,414.04,15,18,18
40,Banana Nut Oatmeal Cups,"Quick oatmeal cups with banana and nut flavor, great for breakfast.",456.04,456.04,32,94,94
41,Coconut Cashew Yogurt,"Creamy yogurt made with coconut and cashews, dairy-free.",608.08,608.08,93,46,46
42,Peach Mango Smoothie Mix,A blend of peach and mango for a tropical smoothie.,527.93,527.93,61,83,83
43,Fitness Activity Journal,Journal to record workouts and nutrition.,572.61,572.61,79,45,45
44,Frozen Fruit Medley,"A mix of strawberries, blueberries, and raspberries, perfect for smoothies.",587.76,587.76,85,15,15
45,Fruit Infuser Water Bottle,Water bottle designed to infuse flavors from fruits.,568.42,568.42,77,11,11
46,Chia Seed Pudding,"Nutritious chia seed pudding in vanilla flavor, ready to eat.",622.62,622.62,99,54,54
47,Garden Tool Set with Carrying Bag,Complete set for garden care with a handy carrying bag.,567.43,567.43,76,45,45
48,Rice Pilaf Mix,Quick and easy rice pilaf mix for side dishes.,458.11,458.11,33,4,4
49,Voice-Controlled Speaker,Smart speaker with Alexa and music streaming features.,419.44,419.44,17,96,96
50,Red Lentils,Nutritious and quick-cooking red lentils.,607.79,607.79,93,55,55
51,Wireless Game Controller,Ergonomic wireless controller for gaming consoles.,488.57,488.57,45,63,63
52,Egg Noodles,"Wide egg noodles, perfect for casseroles and soups.",581.88,581.88,82,24,24
53,Winter Insulated Jacket,Warm and stylish jacket for cold weather.,486.88,486.88,44,23,23
54,Sketchbook,High-quality sketchbook for artists.,512.47,512.47,54,86,86
55,Scented Candles,Set of three aromatic candles with various scents.,411.45,411.45,14,23,23
